Location,year,QualityofLife,Safety,HealthCare,CostofLiving,PropertyPricetoIncome,Climate
Switzerland,2022,195.27,78.32,74.85,123.35,8.29,80.21
Denmark,2022,192.36,73.44,80.07,84.12,6.78,81.8
Netherlands,2022,185.38,72.12,75.56,75.66,7.15,87.11
Finland,2022,184.96,72.75,76.31,73.2,7.95,56.64
Australia,2022,183.81,56.15,78.14,77.75,7.2,92.7
Iceland,2022,182.26,76.47,66.36,94.86,6.36,68.81
Germany,2022,180.27,63.63,73.25,65.58,8.83,82.44
Austria,2022,179.16,73.92,76.75,71.04,10.75,77.15
New Zealand,2022,176.81,56.7,73.32,74.52,7.96,96.69
Norway,2022,176.39,66.15,76.83,100.9,8.04,68.68
Sweden,2022,175.3,51,68.71,71.74,7.81,74.92
Estonia,2022,174.19,76.18,73.33,53.68,9.25,64.28
Oman,2022,173.68,80.01,58.23,49.42,4.59,67.22
Luxembourg,2022,173.63,64.29,70.79,80.5,13.55,82.62
United States,2022,170.72,51.84,69.06,70.13,3.96,76.78
Japan,2022,169.48,77.88,80.49,77.03,11.02,85.27
Slovenia,2022,169.04,77.35,65.25,53.88,11.5,77.56
Spain,2022,168.48,66.13,78.37,53.88,8.78,93.83
Czech Republic,2022,162.64,74.46,75.34,48.24,13.56,77.13
Portugal,2022,162.52,69.42,71.97,47.94,12.25,97.77
Lithuania,2022,161.84,66.72,71.94,45.65,10.98,67.76
United Kingdom,2022,161.74,53.53,74.83,69.65,8.86,88.06
Canada,2022,160.38,57.05,71.31,70.22,7.52,55.98
United Arab Emirates,2022,160.38,84.86,68.73,58.33,4.42,45.23
Croatia,2022,159.21,75.87,64.06,48.94,13.92,89.05
France,2022,156.65,47.59,80.18,74.13,9.94,89.7
Qatar,2022,154.53,86.22,73.53,62.81,6.18,36.03
Ireland,2022,154.52,54.52,52.34,76.05,6.51,89.13
Belgium,2022,151.86,54.62,75.49,72.61,7.09,86.03
Singapore,2022,151.59,72.36,71.07,83.98,17.49,57.45
Slovakia,2022,151.16,69.82,60.33,44.68,11.18,78.13
Latvia,2022,150.81,61.35,62.43,48.45,8.13,74.7
Saudi Arabia,2022,149.54,75.28,60.92,50.41,2.79,45.98
Cyprus,2022,147.1,67.88,51.98,59.03,6.4,93.34
Israel,2022,146.06,67.88,73.83,88.05,13.51,94.01
Italy,2022,141.07,54.8,66.79,66.47,8.61,91.45
Taiwan,2022,140.15,84.13,86.43,62.35,21.81,81.6
Poland,2022,140.02,70.21,57.76,38.95,11.21,76.03
Hungary,2022,137.15,65.71,53.44,40.66,10.88,80.29
South Africa,2022,136.02,23.94,63.97,42.09,3.07,95.25
Puerto Rico,2022,133.77,37.8,57.72,66.53,4,71.25
Romania,2022,133.38,71.21,56.21,35.24,10.44,77.62
Bulgaria,2022,130.09,61.26,56.41,38.38,7.68,82.76
Greece,2022,129.24,52.59,57.31,56.22,10.12,94.18
Bosnia And Herzegovina,2022,127.07,57.77,54.3,36.12,10.78,80.48
South Korea,2022,125.04,73.51,82.72,73.22,29.4,68.39
Mexico,2022,124.9,46.32,72.83,35.35,8.69,84.01
Turkey,2022,124.05,60.31,70.83,28.31,10.27,93.8
Uruguay,2022,122.26,48.56,68.36,52.07,20.08,98.04
Costa Rica,2022,122.07,46.14,62.75,47.01,10.64,99.48
Georgia,2022,121.14,75.7,54.25,30.18,12.03,84.2
Ecuador,2022,118.84,42.76,69.26,37.34,12.48,94.51
Malaysia,2022,117.98,44.29,70.14,37.02,9.78,57.48
Kuwait,2022,117.34,66.59,59.42,48.69,12.26,20.22
Serbia,2022,117.23,61.71,52.49,36.21,16.52,83.23
Tunisia,2022,114.56,55.71,56.54,27.87,11.75,93.24
Panama,2022,114.32,56.08,61.15,51.43,11.18,67.84
Jordan,2022,113.92,59.76,65.57,49.19,8.02,89.05
Ukraine,2022,111.93,53.06,54.34,30.71,10.92,70.69
India,2022,110.99,55.37,65.66,24.43,10.16,65.13
North Macedonia,2022,109.6,59.13,55.83,3138,12.49,76.3
Malta,2022,109.5,59.18,45.56,67.84,13.11,97.44
Belarus,2022,108.48,41.59,45.57,30.89,16.69,64.37
Morocco,2022,107.54,50.93,46.69,33.83,12.6,90.04
Brazil,2022,107.04,32.99,57.84,33.24,16.26,97.15
Argentina,2022,105.42,35.86,69.32,34.69,26.04,98.28
China,2022,105.07,70.61,66.4,41.77,29.04,78.41
Azerbaijan,2022,104.1,67.75,44.85,29.73,16.77,91.4
Colombia,2022,103.54,42.29,67.19,26.72,16.89,88.3
Russia,2022,103.28,60.38,59.08,35.26,14.84,48.95
Pakistan,2022,102.57,57.99,59.58,19.92,14.33,70.36
Thailand,2022,100.97,60.69,77.65,43.21,21.74,69.45
Chile,2022,100.15,46.02,63.97,43.9,17.17,90.21
Lebanon,2022,99.35,53.13,62.75,69.62,12.2,94.74
Hong Kong,2022,98.42,78.08,66.34,80.71,46.93,83.64
Kazakhstan,2022,93.77,46.55,59.99,28.68,10.48,39.78
Kenya,2022,92.54,43.79,63.4,33.92,24.24,99.79
Indonesia,2022,90.36,53.88,60.44,35.85,21.92,68.48
Vietnam,2022,89.95,54.19,58.92,37.48,20.54,71.24
Egypt,2022,89.87,53.43,47.01,29.52,12.04,91.98
Philippines,2022,83.74,57.67,67.52,37.06,29.64,69.32
Peru,2022,80.42,32.9,56.2,32.53,19.45,97.69
Venezuela,2022,77.43,16.42,39.31,43.2,14.35,99.93
Sri Lanka,2022,67.88,58.79,72.1,31.29,45.97,59.11
Bangladesh,2022,67.59,36.55,42.25,33.13,13.54,71.29
Iran ,2022,64.89,50.89,52.3,37.39,33,65.69
Nigeria,2022,52.44,36.16,48.49,30.49,16.11,60.75
Denmark,2019,198.57,75.75,79.41,81.38,6.93,81.8
Switzerland,2019,195.93,78.5,72.68,121.16,9.63,80.05
Finland,2019,194.01,77.2,73.49,72.82,7.98,58.56
Australia,2019,191.31,57.24,76.38,72.08,7.6,93.75
Austria,2019,191.05,78.63,79.19,71.79,10.14,77.74
Netherlands,2019,188.91,71.43,77.81,74.83,7.38,87.45
Iceland,2019,187.79,76.72,66.44,101.86,6.58,68.81
Germany,2019,187.05,65.49,74.32,67.62,9.02,82.51
New Zealand,2019,185.58,60.45,73.62,72.62,8.34,95.46
Norway,2019,181.86,64.68,74.14,100.99,8.4,71.16
Estonia,2019,180.88,79.2,72.12,51.01,9.31,64.28
Japan,2019,180.5,86.27,80.4,83.33,11.25,84.79
United States,2019,179.2,52.87,69.41,69.91,3.58,77.51
Sweden,2019,178.67,50.65,70.95,71.55,10.26,74.92
Slovenia,2019,175.98,77.43,62.81,52.51,10.16,78.08
Spain,2019,174.16,67.54,77.77,54.7,9.21,94.19
United Kingdom,2019,170.81,57.28,74.71,65.28,9.16,87.82
Canada,2019,170.32,60.49,70.99,65.01,7.66,52.55
Qatar,2019,167.84,86.74,72.41,59.09,5.74,36.03
United Arab Emirates,2019,167.81,83.68,67.99,56.16,4.4,45.23
Croatia,2019,165.31,75.31,64.14,49.18,11.63,88.95
Portugal,2019,163.5,67.87,70.72,50.39,12.71,97.55
Belgium,2019,162.09,57.54,79.44,72.97,7.18,86.03
Ireland,2019,160.82,55.48,48.58,75.35,7.9,89.13
Czech Republic,2019,158.79,73.34,74.71,45.12,15.17,77.13
France,2019,157.83,53.61,78.55,74.85,12.85,88.25
Cyprus,2019,157.57,70.69,50.17,55.57,7.17,92.23
Singapore,2019,156.91,78.53,70.3,69.79,21.56,57.45
Lithuania,2019,156.36,63.49,67.58,45.91,11.11,69.86
Israel,2019,153.82,67.84,73.44,74.28,13.98,93.8
Slovakia,2019,153.1,70.46,60.06,44.98,10.27,78.13
Saudi Arabia,2019,152.72,70.27,59.07,47.61,2.89,41.42
South Korea,2019,149.53,65.95,84.51,76.93,17.58,68.39
Latvia,2019,149.15,63.23,59.71,49.23,9.35,74.7
Poland,2019,147.98,69.91,62.15,39.13,10.27,76.02
Italy,2019,145.69,54.98,67.14,69.25,9.97,91.25
Belarus,2019,141.47,76.47,58.01,33.12,14.27,64.37
Romania,2019,140.31,72.16,54.49,26.45,10.15,77.62
Greece,2019,137.82,61.43,55.16,56.66,9.84,94.18
South Africa,2019,135.31,23.2,62.56,42.49,4.11,95.97
Hungary,2019,134.47,64.83,48.24,42.03,12.58,78.74
Taiwan,2019,133.82,82.62,86.22,59.84,28.91,84.38
Bulgaria,2019,130.59,60,54.04,37.17,8.72,82.76
Turkey,2019,125.51,59.62,69.36,35.21,9.26,93.26
Bosnia And Herzegovina,2019,124.51,56.21,53.2,35.72,12.28,80.48
Chile,2019,124.14,53.19,65.5,47.73,13.51,90.21
Mexico,2019,123.48,47.7,69.72,32.71,10.19,86.29
Argentina,2019,122.49,37.45,69.39,33.09,19.02,98.28
Malaysia,2019,122.11,39.21,67.61,39.38,9.77,60.1
Georgia,2019,120.9,80.14,51.29,28.78,12.67,84.2
Serbia,2019,119.83,62.73,52.56,35.39,18.62,83.23
India,2019,117.51,57.28,68.32,24.17,11.33,65.74
Panama,2019,113.12,53.57,61.41,51.45,12.67,67.84
Jordan,2019,112.94,56.18,66.12,54.98,7.67,89.05
Lebanon,2019,111.21,55.73,65.9,58.06,13.44,94.74
North Macedonia,2019,110.64,60.71,58.98,31.58,13.65,76.3
Colombia,2019,108.36,48.74,67.51,30.15,18.85,86.04
Indonesia,2019,107.2,53.99,61.98,36.24,13.81,68.96
Russia,2019,104.94,58.07,57.63,35.52,12.39,46.53
Pakistan,2019,104.63,53.27,60.58,20.4,14.06,72.99
Thailand,2019,103.26,53.34,79.06,47.54,21.94,69.45
Ukraine,2019,102.34,51.12,50.95,27.94,14.35,70.69
Hong Kong,2019,100.9,80.68,67.35,78.14,49.42,83.64
Brazil,2019,100.33,29.76,54.64,42.8,18.72,95.35
China,2019,97.92,54.54,64.03,39.24,29.09,78.91
Sri Lanka,2019,95.3,58.97,72.3,30.24,26.32,59.11
Philippines,2019,90.73,59.17,65.87,35.09,21.83,60.23
Vietnam,2019,88.82,51.22,54.54,37.7,19.66,71.24
Kazakhstan,2019,87.17,33.49,51.27,29.83,11.51,39.78
Iran ,2019,87.02,50.67,51.18,35.8,16.87,70.99
Egypt,2019,83.98,49.29,44.22,26.46,13.6,91.98
