ParentLocationCode,ParentLocation,SpatialDimValueCode,Location,Gdp,year,Dim1 type,Dim1,Dim1ValueCode,FactValueNumeric,Value,Level,Language,DateModified,,,pergdp,,,,,,,,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,,FactValueTranslationID,FactComments
EMR,Eastern Mediterranean,AFG,Afghanistan,..,2000,Sex,Both sexes,BTSX,54.99,54.99,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,,,,,,,,,,,,,,,,
EMR,Eastern Mediterranean,AFG,Afghanistan,17.80511312,2010,Sex,Both sexes,BTSX,59.94,59.94,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,543.3065262,,,,,,,,,,,,,,,
EMR,Eastern Mediterranean,AFG,Afghanistan,19.13421176,2015,Sex,Both sexes,BTSX,61.65,61.65,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,556.0072209,,,,,,,,,,,,,,,
EMR,Eastern Mediterranean,AFG,Afghanistan,18.79945074,2019,Sex,Both sexes,BTSX,63.21,63.21,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,494.1793499,,,,,,,,,,,,,,,
EUR,Europe,ALB,Albania,12.89076453,2010,Sex,Both sexes,BTSX,76.25,76.25,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,556.8386317,,,,,,,,,,,,,,,
EUR,Europe,ALB,Albania,11.38685013,2015,Sex,Both sexes,BTSX,77.84,77.84,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,3587.883645,,,,,,,,,,,,,,,
EUR,Europe,ALB,Albania,15.40024287,2019,Sex,Both sexes,BTSX,78,78,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,4166.979833,,,,,,,,,,,,,,,
EUR,Europe,ALB,Albania,3.48035526,2000,Sex,Both sexes,BTSX,73.55,73.55,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,2809.626088,,,,,,,,,,,,,,,
AFR,Africa,DZA,Algeria,200.0130522,2010,Sex,Both sexes,BTSX,75.85,75.85,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,4094.348386,,,,,,,,,,,,,,,
AFR,Africa,DZA,Algeria,165.9792793,2015,Sex,Both sexes,BTSX,76.54,76.54,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,3952.802538,,,,,,,,,,,,,,,
AFR,Africa,DZA,Algeria,171.7674038,2019,Sex,Both sexes,BTSX,77.13,77.13,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,5395.659532,,,,,,,,,,,,,,,
AFR,Africa,DZA,Algeria,54.79039275,2000,Sex,Both sexes,BTSX,72.21,72.21,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1126.68334,,,,,,,,,,,,,,,
AFR,Africa,AGO,Angola,9.12963498,2000,Sex,Both sexes,BTSX,49.3,49.3,<50.0,EN,2020-12-03T16:00:00.000Z,,,33291.36625,,,,,,,,,,,,,,,
AFR,Africa,AGO,Angola,111.7896865,2010,Sex,Both sexes,BTSX,58.07,58.07,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,33893.26387,,,,,,,,,,,,,,,
AFR,Africa,AGO,Angola,116.1936491,2015,Sex,Both sexes,BTSX,61.72,61.72,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,38663.4005,,,,,,,,,,,,,,,
AFR,Africa,AGO,Angola,89.41719034,2019,Sex,Both sexes,BTSX,63.06,63.06,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,42701.44305,,,,,,,,,,,,,,,
AMR,Americas,ATG,Antigua and Barbuda,1.13763704,2010,Sex,Both sexes,BTSX,75.95,75.95,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,7708.099115,,,,,,,,,,,,,,,
AMR,Americas,ATG,Antigua and Barbuda,1.33669259,2015,Sex,Both sexes,BTSX,76.14,76.14,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,10385.96443,,,,,,,,,,,,,,,
AMR,Americas,ATG,Antigua and Barbuda,1.68753333,2019,Sex,Both sexes,BTSX,76.45,76.45,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,13789.06042,,,,,,,,,,,,,,,
AMR,Americas,ATG,Antigua and Barbuda,0.82637037,2000,Sex,Both sexes,BTSX,74.56,74.56,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,10056.63794,,,,,,,,,,,,,,,
AMR,Americas,ARG,Argentina,284.20375,2000,Sex,Both sexes,BTSX,74.09,74.09,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,622.7409229,,,,,,,,,,,,,,,
AMR,Americas,ARG,Argentina,530.1632816,2010,Sex,Both sexes,BTSX,75.44,75.44,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,3218.378299,,,,,,,,,,,,,,,
AMR,Americas,ARG,Argentina,594.7492854,2015,Sex,Both sexes,BTSX,76.17,76.17,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,3607.289299,,,,,,,,,,,,,,,
AMR,Americas,ARG,Argentina,451.9323561,2019,Sex,Both sexes,BTSX,76.58,76.58,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,4604.646324,,,,,,,,,,,,,,,
EUR,Europe,ARM,Armenia,1.91156367,2000,Sex,Both sexes,BTSX,71.88,71.88,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,13048.96058,,,,,,,,,,,,,,,
EUR,Europe,ARM,Armenia,10.14211133,2010,Sex,Both sexes,BTSX,73.12,73.12,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,14285.32978,,,,,,,,,,,,,,,
EUR,Europe,ARM,Armenia,10.55333767,2015,Sex,Both sexes,BTSX,74.51,74.51,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,17376.64968,,,,,,,,,,,,,,,
EUR,Europe,ARM,Armenia,13.61929136,2019,Sex,Both sexes,BTSX,76.03,76.03,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,10872.29295,,,,,,,,,,,,,,,
WPR,Western Pacific,AUS,Australia,415.5762105,2000,Sex,Both sexes,BTSX,79.69,79.69,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,21697.70848,,,,,,,,,,,,,,,
WPR,Western Pacific,AUS,Australia,1397.907917,2010,Sex,Both sexes,BTSX,81.9,81.9,>80.0,EN,2020-12-03T16:00:00.000Z,,,52087.97229,,,,,,,,,,,,,,,
WPR,Western Pacific,AUS,Australia,1350.534154,2015,Sex,Both sexes,BTSX,82.28,82.28,>80.0,EN,2020-12-03T16:00:00.000Z,,,56707.02208,,,,,,,,,,,,,,,
WPR,Western Pacific,AUS,Australia,1391.95251,2019,Sex,Both sexes,BTSX,83.04,83.04,>80.0,EN,2020-12-03T16:00:00.000Z,,,54875.28596,,,,,,,,,,,,,,,
EUR,Europe,AUT,Austria,196.7997789,2000,Sex,Both sexes,BTSX,78.17,78.17,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,24564.45829,,,,,,,,,,,,,,,
EUR,Europe,AUT,Austria,431.1203101,2010,Sex,Both sexes,BTSX,80.39,80.39,>80.0,EN,2020-12-03T16:00:00.000Z,,,46858.04327,,,,,,,,,,,,,,,
EUR,Europe,AUT,Austria,381.8175659,2015,Sex,Both sexes,BTSX,80.98,80.98,>80.0,EN,2020-12-03T16:00:00.000Z,,,44178.04738,,,,,,,,,,,,,,,
EUR,Europe,AUT,Austria,445.0118727,2019,Sex,Both sexes,BTSX,81.65,81.65,>80.0,EN,2020-12-03T16:00:00.000Z,,,50114.40111,,,,,,,,,,,,,,,
EUR,Europe,AZE,Azerbaijan,5.27279839,2000,Sex,Both sexes,BTSX,65.52,65.52,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,655.1199452,,,,,,,,,,,,,,,
EUR,Europe,AZE,Azerbaijan,65.9516272,2010,Sex,Both sexes,BTSX,69.03,69.03,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,5843.533768,,,,,,,,,,,,,,,
